2025-08-10 10:18:52.774 | INFO     | __main__:load_config:40 - 成功加载配置文件
2025-08-10 10:18:52.774 | INFO     | __main__:evaluate_dify_rag:258 - 开始评估Dify知识库召回和RAG系统...
2025-08-10 10:18:55.066 | INFO     | __main__:evaluate_dify_rag:267 - 使用自定义LLM进行评估: deepseek-chat
2025-08-10 10:18:55.066 | INFO     | __main__:evaluate_dify_rag:268 - API Base URL: https://api.deepseek.com/v1
2025-08-10 10:18:57.032 | INFO     | __main__:evaluate_dify_rag:286 - 加载了 1 条测试数据
2025-08-10 10:18:57.504 | INFO     | __main__:create_evaluation_dataset:186 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-10 10:18:57.511 | INFO     | __main__:retrieve:103 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-10 10:18:57.512 | INFO     | __main__:retrieve:104 - 检索参数 - 查询词: 二氯二氟甲烷的检出限是多少？, 搜索方法: hybrid_search, 启用重排序: False
2025-08-10 10:18:57.512 | INFO     | __main__:retrieve:131 - 检索配置 - top_k: 3
2025-08-10 10:18:57.512 | INFO     | __main__:retrieve:132 - 检索配置 - 分数阈值启用: False
2025-08-10 10:19:31.375 | INFO     | __main__:create_evaluation_dataset:205 - 检索到 2 个上下文片段
2025-08-10 10:19:31.375 | INFO     | __main__:create_evaluation_dataset:206 - RAG系统生成的答案: 二氯二氟甲烷的检出限为 **0.4 µg/kg**。...
2025-08-10 10:19:40.668 | INFO     | __main__:evaluate_dify_rag:305 - 开始执行RAGAS评估,检索策略:hybrid_search1...
2025-08-10 10:19:55.430 | INFO     | __main__:evaluate_dify_rag:313 - 检索策略:hybrid_search1评估完成
2025-08-10 10:19:55.435 | INFO     | __main__:create_evaluation_dataset:186 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-10 10:19:55.435 | INFO     | __main__:retrieve:103 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-10 10:19:55.435 | INFO     | __main__:retrieve:104 - 检索参数 - 查询词: 二氯二氟甲烷的检出限是多少？, 搜索方法: hybrid_search, 启用重排序: True
2025-08-10 10:19:55.435 | INFO     | __main__:retrieve:130 - 检索配置 rebank model : bge-reranker-v2-m3
2025-08-10 10:19:55.446 | INFO     | __main__:retrieve:131 - 检索配置 - top_k: 3
2025-08-10 10:19:55.446 | INFO     | __main__:retrieve:132 - 检索配置 - 分数阈值启用: True
2025-08-10 10:19:55.446 | INFO     | __main__:retrieve:134 - 构建的检索配置 - 分数阈值: 0.6
2025-08-10 10:20:11.785 | INFO     | __main__:create_evaluation_dataset:205 - 检索到 2 个上下文片段
2025-08-10 10:20:11.786 | INFO     | __main__:create_evaluation_dataset:206 - RAG系统生成的答案: 二氯二氟甲烷的检出限为0.4 µg/kg。...
2025-08-10 10:20:11.786 | INFO     | __main__:evaluate_dify_rag:305 - 开始执行RAGAS评估,检索策略:hybrid_search2...
2025-08-10 10:20:26.818 | INFO     | __main__:evaluate_dify_rag:313 - 检索策略:hybrid_search2评估完成
2025-08-10 10:20:26.854 | INFO     | __main__:evaluate_dify_rag:318 - 评估结果已保存到evaluation_results1.xlsx
